name,city,lat,lng,unit,cadre,date,start,end,hours,rate,urgency
Ikorodu Comprehensive Health Centre,"Ikorodu, Lagos",6.6169,3.5177,General Medicine,RN,2026-07-29,07:00,19:00,12,6521,urgent
Gbagada General Hospital,"Kosofe, Lagos",6.5743,3.3976,Paediatrics,RM,2026-07-30,19:00,07:00,12,6658,normal
"Isheri General Hospital, Ketu","Kosofe, Lagos",6.5856,3.376,Theatre,RN,2026-07-31,08:00,16:00,8,6795,normal
Lagos Island General Hospital,"Lagos Island, Lagos",6.4685,3.3892,Renal/Dialysis,RN,2026-08-01,07:00,19:00,12,6932,urgent
Massey Street Childrens Hospital,"Lagos Island, Lagos",6.4667,3.3882,Psychiatry,RM,2026-08-02,19:00,07:00,12,7069,normal
"St. Nicholas Hospital, Lagos Island","Lagos Island, Lagos",6.4532,3.4017,NICU,RN,2026-08-03,08:00,16:00,8,7206,normal
"Federal Medical Centre, Ebute-Metta","Lagos Mainland, Lagos",6.4913,3.3809,Oncology,RN,2026-08-04,07:00,19:00,12,7343,urgent
Lagos University Teaching Hospital (LUTH),"Lagos Mainland, Lagos",6.4862,3.3969,ICU,RM,2026-07-28,19:00,07:00,12,7480,normal
Mushin General Hospital,"Mushin, Lagos",6.5463,3.3486,Accident & Emergency,RN,2026-07-29,08:00,16:00,8,7617,normal
"Maryland Specialist Hospital, Mushin","Mushin, Lagos",6.5319,3.3456,Labour Ward,RN,2026-07-30,07:00,19:00,12,7754,urgent
"Nigerian Navy Reference Hospital, Ojo","Ojo, Lagos",6.4541,3.1785,General Medicine,RM,2026-07-31,19:00,07:00,12,7891,normal
Ojo General Hospital,"Ojo, Lagos",6.4684,3.1976,Paediatrics,RN,2026-08-01,08:00,16:00,8,8028,normal
Isolo General Hospital,"Oshodi-Isolo, Lagos",6.5356,3.3121,Theatre,RN,2026-08-02,07:00,19:00,12,8165,urgent
"Wind of Grace Hospital, Okota","Oshodi-Isolo, Lagos",6.5202,3.3298,Renal/Dialysis,RM,2026-08-03,19:00,07:00,12,8302,normal
"National Orthopaedic Hospital, Igbobi","Somolu, Lagos",6.539,3.3859,Psychiatry,RN,2026-08-04,08:00,16:00,8,8439,normal
Somolu General Hospital,"Somolu, Lagos",6.5279,3.3875,NICU,RN,2026-07-28,07:00,19:00,12,8576,urgent
"Randle General Hospital, Surulere","Surulere, Lagos",6.481,3.3556,Oncology,RM,2026-07-29,19:00,07:00,12,8713,normal
"Avon Medical Practice, Surulere","Surulere, Lagos",6.4867,3.3637,ICU,RN,2026-07-30,08:00,16:00,8,8850,normal
"Federal Medical Centre, Abeokuta","Abeokuta North, Ogun",7.1493,3.3411,Accident & Emergency,RN,2026-07-31,07:00,19:00,12,8987,urgent
"Federal Neuro-Psychiatric Hospital, Aro","Abeokuta South, Ogun",7.1569,3.3615,Labour Ward,RM,2026-08-01,19:00,07:00,12,9124,normal
"State Hospital, Ota","Ado-Odo/Ota, Ogun",6.6816,3.2394,General Medicine,RN,2026-08-02,08:00,16:00,8,9261,normal
"General Hospital, Ayetoro","Yewa North, Ogun",7.1638,2.8589,Paediatrics,RN,2026-08-03,07:00,19:00,12,9398,urgent
"General Hospital, Ilaro","Yewa South, Ogun",6.8945,2.983,Theatre,RM,2026-08-04,19:00,07:00,12,9535,normal
"General Hospital, Itori","Ewekoro, Ogun",6.9325,3.2187,Renal/Dialysis,RN,2026-07-28,08:00,16:00,8,9672,normal
"General Hospital, Ifo","Ifo, Ogun",6.8103,3.1834,Psychiatry,RN,2026-07-29,07:00,19:00,12,9809,urgent
"General Hospital, Ogbere","Ijebu East, Ogun",6.811,4.0385,NICU,RM,2026-07-30,19:00,07:00,12,9946,normal
"General Hospital, Ijebu-Igbo","Ijebu North, Ogun",6.9702,3.9046,Oncology,RN,2026-07-31,08:00,16:00,8,10083,normal
"General Hospital, Atan","Ijebu North East, Ogun",6.9401,4.0471,ICU,RN,2026-08-01,07:00,19:00,12,10220,urgent
"State Hospital, Ijebu-Ode","Ijebu Ode, Ogun",6.8081,3.9126,Accident & Emergency,RM,2026-08-02,19:00,07:00,12,10357,normal
"Dideolu Specialist Hospital, Ikenne","Ikenne, Ogun",6.876,3.7207,Labour Ward,RN,2026-08-03,08:00,16:00,8,10494,normal
"General Hospital, Imeko","Imeko Afon, Ogun",7.4188,2.82,General Medicine,RN,2026-08-04,07:00,19:00,12,10631,urgent
"General Hospital, Ipokia","Ipokia, Ogun",6.6543,2.8749,Paediatrics,RM,2026-07-28,19:00,07:00,12,10768,normal
"General Hospital, Owode-Egba","Obafemi Owode, Ogun",6.8007,3.4553,Theatre,RN,2026-07-29,08:00,16:00,8,10905,normal
"General Hospital, Odeda","Odeda, Ogun",7.1696,3.4415,Renal/Dialysis,RN,2026-07-30,07:00,19:00,12,6542,urgent
"General Hospital, Odogbolu","Odogbolu, Ogun",6.8755,3.8124,Psychiatry,RM,2026-07-31,19:00,07:00,12,6679,normal
"General Hospital, Abigi","Ogun Waterside, Ogun",6.4633,4.2447,NICU,RN,2026-08-01,08:00,16:00,8,6816,normal
"General Hospital, Iperu","Remo North, Ogun",6.9115,3.7152,Oncology,RN,2026-08-02,07:00,19:00,12,6953,urgent
"Olabisi Onabanjo University Teaching Hospital (OOUTH), Sagamu","Sagamu, Ogun",6.844,3.6366,ICU,RM,2026-08-03,19:00,07:00,12,7090,normal
